LINE TYPE,CHARGE CODE/ PACKAGE,CHARGE DESCRIPTION,DRG,CPT,HCPCS,MODIFIER,REV CODE,NDC,GROSS CHARGES,SELF PAY CASH PRICE,MIN NEGOTIATED RATE,MAX NEGOTIATED RATE,Aetna US Healthcare PPO/POS Out Net IP Rate,Aetna US Healthcare PPO/POS Out Net OP Rate,  Anaheim Memorial Medical Center HMO/POS/PPO IP Rate,  Anaheim Memorial Medical Center HMO/POS/PPO OP Rate,  Beech Street PPO IP Rate,  Beech Street PPO OP Rate,Blue Cross of California HMO/POS In Net IP Rate,Blue Cross of California HMO/POS In Net OP Rate,Blue Cross of California HMO/POS/PPO** IP Rate,Blue Cross of California HMO/POS/PPO** OP Rate,Blue Cross of California PPO/POS Out Net IP Rate,Blue Cross of California PPO/POS Out Net OP Rate,Blue Shield of California HMO/POS/PPO** IP Rate,Blue Shield of California HMO/POS/PPO** OP Rate,CalOPTIMA Direct IP Rate,CalOPTIMA Direct OP Rate,  CalOPTIMA Direct Medi-Cal Expansion IP Rate,  CalOPTIMA Direct Medi-Cal Expansion OP Rate,  CalOPTIMA OneCare IP Rate,  CalOPTIMA OneCare OP Rate,  Family Choice (Fountain Valley Reg Hosp) Medi-Cal/CalOPTIMA IP Rate,CHOC Health Alliance Medi-Cal/CalOPTIMA IP Rate,CHOC Health Alliance Medi-Cal/CalOPTIMA OP Rate,CHOC Physicians Network (CPN) Medi-Cal/CalOPTIMA/Healthy Familie IP Rate,CHOC Physicians Network (CPN) Medi-Cal/CalOPTIMA/Healthy Familie OP Rate,Cigna EPO/PPO** IP Rate,Cigna EPO/PPO** OP Rate,Cigna Healthcare of California HMO/POS In Net IP Rate,Cigna Healthcare of California HMO/POS In Net OP Rate,  Family Choice (Fountain Valley Reg Hosp) Medi-Cal/CalOPTIMA OP Rate,Health Net PPO/POS Out Net** IP Rate,Health Net PPO/POS Out Net** OP Rate,  Humana ChoiceCare PPO IP Rate,  Humana ChoiceCare PPO OP Rate,Inland Empire Health Plan Medi-Cal IP Rate,Inland Empire Health Plan Medi-Cal OP Rate,  Interplan Corporation PPO IP Rate,  Interplan Corporation PPO OP Rate,  La Salle Medical Associates HMO/POS In Net IP Rate,  La Salle Medical Associates HMO/POS In Net OP Rate,  Medi-Cal Out of County-LA Care IP Rate,  Medi-Cal Out of County-LA Care OP Rate,  Molina Medi-Cal IP Rate,  Molina Medi-Cal OP Rate,  Monarch Health Plan/Medi-Cal/Cal Optima IP Rate,  Monarch Health Plan/Medi-Cal/Cal Optima OP Rate,  MultiPlan PPO IP Rate,  MultiPlan PPO OP Rate,  National Provider Network PPO IP Rate,  National Provider Network PPO OP Rate,  PPO NEXT PPO IP Rate,  PPO NEXT PPO OP Rate,  Prospect Medical and Its Affiliated Medical Groups IP Rate,  Prospect Medical and Its Affiliated Medical Groups OP Rate,  State of CA Medical Assistance Commission CCS/Medi-Cal IP Rate,  State of CA Medical Assistance Commission CCS/Medi-Cal OP Rate,  Three Rivers Provider Network (TRPN) PPO IP Rate,  Three Rivers Provider Network (TRPN) PPO OP Rate,  UCI Medical Group HMO/POS in Net IP Rate,  UCI Medical Group HMO/POS in Net OP Rate,UnitedHealthcare HMO/POS In Net IP Rate,UnitedHealthcare HMO/POS In Net OP Rate,UnitedHealthcare PPO/POS Out Net IP Rate,UnitedHealthcare PPO/POS Out Net OP Rate,  USA Health Network PPO IP Rate,  USA Health Network PPO OP Rate
CDM,1276671,LANSOPRAZOLE (PREVACID) 3MG/ML ORALSYR,,,J8499,,250,00300-7309-30,$40.14,$40.14,$20.87,$36.13,,$20.87,,$24.08,,$32.11,,$30.84,,$32.91,,$30.84,,$26.09,,,,,,,,,,,,,,,$26.09,,,$26.81,,$32.11,,,,$32.11,,$26.09,,,,,,,,$32.11,,$34.12,,$32.11,,$22.08,,,,$36.13,,$26.09,,$23.08,,$23.08,,$34.12
CDM,1306580,"ERGOCALCIFEROL (VIT D2) DROPS 8,000 UNITS/ML",,,J8499,,250,43199-0015-60,$20.70,$20.70,$10.76,$18.63,,$10.76,,$12.42,,$16.56,,$15.90,,$16.97,,$15.90,,$13.46,,,,,,,,,,,,,,,$13.46,,,$13.83,,$16.56,,,,$16.56,,$13.46,,,,,,,,$16.56,,$17.60,,$16.56,,$11.39,,,,$18.63,,$13.46,,$11.90,,$11.90,,$17.60
CDM,1312258,MULTIVITAMINS (POLY-VI-SOL) DROPS,,,J8499,,250,17856-0402-01,$9.42,$9.42,$4.90,$8.48,,$4.90,,$5.65,,$7.54,,$7.24,,$7.72,,$7.24,,$6.12,,,,,,,,,,,,,,,$6.12,,,$6.29,,$7.54,,,,$7.54,,$6.12,,,,,,,,$7.54,,$8.01,,$7.54,,$5.18,,,,$8.48,,$6.12,,$5.42,,$5.42,,$8.01
CDM,1312259,SENNA (SENOKOT) (1.76 MG/ML SENNOSIDES),,,J8499,,250,17856-0462-03,$18.01,$18.01,$9.37,$16.21,,$9.37,,$10.81,,$14.41,,$13.84,,$14.77,,$13.84,,$11.71,,,,,,,,,,,,,,,$11.71,,,$12.03,,$14.41,,,,$14.41,,$11.71,,,,,,,,$14.41,,$15.31,,$14.41,,$9.91,,,,$16.21,,$11.71,,$10.36,,$10.36,,$15.31
CDM,1312261,MULTIVITAMIN (POLY-VI-SOL) W/IRON DROPS,,,J8499,,250,17856-0405-01,$16.57,$16.57,$8.62,$14.91,,$8.62,,$9.94,,$13.26,,$12.73,,$13.59,,$12.73,,$10.77,,,,,,,,,,,,,,,$10.77,,,$11.07,,$13.26,,,,$13.26,,$10.77,,,,,,,,$13.26,,$14.08,,$13.26,,$9.11,,,,$14.91,,$10.77,,$9.53,,$9.53,,$14.08
CDM,1315655,CARVEDILOL (COREG) 25 MG TAB,,,J8499,,250,00007-4142-20,$44.10,$44.10,$22.93,$39.69,,$22.93,,$26.46,,$35.28,,$33.88,,$36.16,,$33.88,,$28.66,,,,,,,,,,,,,,,$28.66,,,$29.46,,$35.28,,,,$35.28,,$28.67,,,,,,,,$35.28,,$37.49,,$35.28,,$24.26,,,,$39.69,,$28.67,,$25.36,,$25.36,,$37.49
CDM,1315657,CARVEDILOL (COREG) 3.125 MG TAB,,,J8499,,250,00007-4139-20,$47.06,$47.06,$24.47,$42.35,,$24.47,,$28.24,,$37.65,,$36.15,,$38.59,,$36.15,,$30.59,,,,,,,,,,,,,,,$30.59,,,$31.44,,$37.65,,,,$37.65,,$30.59,,,,,,,,$37.65,,$40.00,,$37.65,,$25.88,,,,$42.35,,$30.59,,$27.06,,$27.06,,$40.00
CDM,1315660,CARVEDILOL (COREG) SUSP 1.67 MG/ML ORAL SYRINGE,,,J8499,,250,00093-7296-01,$34.50,$34.50,$17.94,$31.05,,$17.94,,$20.70,,$27.60,,$26.50,,$28.29,,$26.50,,$22.43,,,,,,,,,,,,,,,$22.43,,,$23.05,,$27.60,,,,$27.60,,$22.43,,,,,,,,$27.60,,$29.33,,$27.60,,$18.98,,,,$31.05,,$22.43,,$19.84,,$19.84,,$29.33
CDM,1315810,ATOMOXETINE (STRATTERA) 10 MG CAP,,,J8499,,250,00002-3227-30,$127.65,$127.65,$66.38,$114.89,,$66.38,,$76.59,,$102.12,,$98.06,,$104.67,,$98.06,,$82.97,,,,,,,,,,,,,,,$82.97,,,$85.27,,$102.12,,,,$102.12,,$82.97,,,,,,,,$102.12,,$108.50,,$102.12,,$70.21,,,,$114.89,,$82.97,,$73.40,,$73.40,,$108.50
CDM,1315811,ATOMOXETINE (STRATTERA) 25 MG CAP,,,J8499,,250,64980-0375-03,$115.65,$115.65,$60.14,$104.09,,$60.14,,$69.39,,$92.52,,$88.84,,$94.83,,$88.84,,$75.17,,,,,,,,,,,,,,,$75.17,,,$77.25,,$92.52,,,,$92.52,,$75.17,,,,,,,,$92.52,,$98.30,,$92.52,,$63.61,,,,$104.09,,$75.17,,$66.50,,$66.50,,$98.30
CDM,1315812,ATOMOXETINE (STRATTERA) 40 MG CAP,,,J8499,,250,60687-0326-25,$68.80,$68.80,$35.78,$61.92,,$35.78,,$41.28,,$55.04,,$52.85,,$56.42,,$52.85,,$44.72,,,,,,,,,,,,,,,$44.72,,,$45.96,,$55.04,,,,$55.04,,$44.72,,,,,,,,$55.04,,$58.48,,$55.04,,$37.84,,,,$61.92,,$44.72,,$39.56,,$39.56,,$58.48
CDM,1315828,METHYLPHENIDATE (CONCERTA) 18 MG ER TAB,,,J8499,,250,17314-5850-02,$44.75,$44.75,$23.27,$40.28,,$23.27,,$26.85,,$35.80,,$34.38,,$36.70,,$34.38,,$29.09,,,,,,,,,,,,,,,$29.09,,,$29.89,,$35.80,,,,$35.80,,$29.09,,,,,,,,$35.80,,$38.04,,$35.80,,$24.61,,,,$40.28,,$29.09,,$25.73,,$25.73,,$38.04
CDM,1315834,METHYLPHENIDATE (CONCERTA) 27 MG ER TAB,,,J8499,,250,17314-5853-02,$45.40,$45.40,$23.61,$40.86,,$23.61,,$27.24,,$36.32,,$34.88,,$37.23,,$34.88,,$29.51,,,,,,,,,,,,,,,$29.51,,,$30.33,,$36.32,,,,$36.32,,$29.51,,,,,,,,$36.32,,$38.59,,$36.32,,$24.97,,,,$40.86,,$29.51,,$26.11,,$26.10,,$38.59
CDM,1408809,QUETIAPINE (SEROQUEL) 100 MG TAB,,,J8499,,250,00310-0271-39,$72.10,$72.10,$37.49,$64.89,,$37.49,,$43.26,,$57.68,,$55.39,,$59.12,,$55.39,,$46.87,,,,,,,,,,,,,,,$46.87,,,$48.16,,$57.68,,,,$57.68,,$46.87,,,,,,,,$57.68,,$61.29,,$57.68,,$39.66,,,,$64.89,,$46.87,,$41.46,,$41.46,,$61.29
CDM,1408810,QUETIAPINE (SEROQUEL) 25 MG TAB,,,J8499,,250,60687-0327-01,$38.05,$38.05,$19.79,$34.25,,$19.79,,$22.83,,$30.44,,$29.23,,$31.20,,$29.23,,$24.73,,,,,,,,,,,,,,,$24.73,,,$25.42,,$30.44,,,,$30.44,,$24.73,,,,,,,,$30.44,,$32.34,,$30.44,,$20.93,,,,$34.25,,$24.73,,$21.88,,$21.88,,$32.34
CDM,1410807,AMOXICILLIN-CLAVULANATE SR T,,,J8499,,250,00029-6096-28,$34.55,$34.55,$17.97,$31.10,,$17.97,,$20.73,,$27.64,,$26.54,,$28.33,,$26.54,,$22.46,,,,,,,,,,,,,,,$22.46,,,$23.08,,$27.64,,,,$27.64,,$22.46,,,,,,,,$27.64,,$29.37,,$27.64,,$19.00,,,,$31.10,,$22.46,,$19.87,,$19.87,,$29.37
CDM,1410814,DOXYCYCLINE SYR,,,J8499,,250,68180-0657-01,$10.70,$10.70,$5.56,$9.63,,$5.56,,$6.42,,$8.56,,$8.22,,$8.77,,$8.22,,$6.96,,,,,,,,,,,,,,,$6.96,,,$7.15,,$8.56,,,,$8.56,,$6.96,,,,,,,,$8.56,,$9.10,,$8.56,,$5.89,,,,$9.63,,$6.96,,$6.15,,$6.15,,$9.10
CDM,1410815,VALACYCLOVIR (VALTREX) SUSP 50 MG/ML ORAL SYRINGE,,,J8499,,250,00173-0933-08,$4.63,$4.63,$2.41,$4.17,,$2.41,,$2.78,,$3.70,,$3.56,,$3.80,,$3.56,,$3.01,,,,,,,,,,,,,,,$3.01,,,$3.09,,$3.70,,,,$3.70,,$3.01,,,,,,,,$3.70,,$3.94,,$3.70,,$2.55,,,,$4.17,,$3.01,,$2.66,,$2.66,,$3.94
CDM,1410816,VERAPAMIL (CALAN) SUSP 50 MG/ML ORAL SYRINGE,,,J8499,,250,00025-1861-31,$50.00,$50.00,$26.00,$45.00,,$26.00,,$30.00,,$40.00,,$38.41,,$41.00,,$38.41,,$32.50,,,,,,,,,,,,,,,$32.50,,,$33.40,,$40.00,,,,$40.00,,$32.50,,,,,,,,$40.00,,$42.50,,$40.00,,$27.50,,,,$45.00,,$32.50,,$28.75,,$28.75,,$42.50
CDM,1410824,PYRIDOSTIGMINE SUSP (MESTINON) 12 MG/ML ORAL SYRINGE,,,J8499,,250,00187-3010-30,$136.40,$136.40,$70.93,$122.76,,$70.93,,$81.84,,$109.12,,$104.78,,$111.85,,$104.78,,$88.66,,,,,,,,,,,,,,,$88.66,,,$91.12,,$109.12,,,,$109.12,,$88.66,,,,,,,,$109.12,,$115.94,,$109.12,,$75.02,,,,$122.76,,$88.66,,$78.43,,$78.43,,$115.94
CDM,1410825,PIOGLITAZONE  (ACTOS) 15 MG TAB,,,J8499,,250,64764-0151-04,$125.60,$125.60,$65.31,$113.04,,$65.31,,$75.36,,$100.48,,$96.49,,$102.99,,$96.49,,$81.64,,,,,,,,,,,,,,,$81.64,,,$83.90,,$100.48,,,,$100.48,,$81.64,,,,,,,,$100.48,,$106.76,,$100.48,,$69.08,,,,$113.04,,$81.64,,$72.22,,$72.22,,$106.76
CDM,1410828,BUSPIRONE TAB,,,J8499,,250,68382-0180-01,$13.85,$13.85,$7.20,$12.47,,$7.20,,$8.31,,$11.08,,$10.64,,$11.36,,$10.64,,$9.00,,,,,,,,,,,,,,,$9.00,,,$9.25,,$11.08,,,,$11.08,,$9.00,,,,,,,,$11.08,,$11.77,,$11.08,,$7.62,,,,$12.47,,$9.00,,$7.96,,$7.96,,$11.77
CDM,1410835,NORTRIPTYLINE (PAMELOR) 2 MG/ML SOLN 0RAL SYRINGE,,,J8499,,250,00406-9918-16,$11.37,$11.37,$5.91,$10.23,,$5.91,,$6.82,,$9.10,,$8.73,,$9.32,,$8.73,,$7.39,,,,,,,,,,,,,,,$7.39,,,$7.60,,$9.10,,,,$9.10,,$7.39,,,,,,,,$9.10,,$9.66,,$9.10,,$6.25,,,,$10.23,,$7.39,,$6.54,,$6.54,,$9.66
CDM,1410836,CLOPIDOGREL (PLAVIX) 75 MG TAB,,,J8499,,250,63653-1171-03,$69.95,$69.95,$36.37,$62.96,,$36.37,,$41.97,,$55.96,,$53.74,,$57.36,,$53.74,,$45.47,,,,,,,,,,,,,,,$45.47,,,$46.73,,$55.96,,,,$55.96,,$45.47,,,,,,,,$55.96,,$59.46,,$55.96,,$38.47,,,,$62.96,,$45.47,,$40.22,,$40.22,,$59.46
CDM,1410842,METHIMAZOLE (TAPAZOLE) 10 MG TAB,,,J8499,,250,60793-0105-01,$41.80,$41.80,$21.74,$37.62,,$21.74,,$25.08,,$33.44,,$32.11,,$34.28,,$32.11,,$27.17,,,,,,,,,,,,,,,$27.17,,,$27.92,,$33.44,,,,$33.44,,$27.17,,,,,,,,$33.44,,$35.53,,$33.44,,$22.99,,,,$37.62,,$27.17,,$24.04,,$24.03,,$35.53
CDM,1410843,BUPROPION SR T,,,J8499,,250,68084-0697-01,$21.05,$21.05,$10.95,$18.95,,$10.95,,$12.63,,$16.84,,$16.17,,$17.26,,$16.17,,$13.68,,,,,,,,,,,,,,,$13.68,,,$14.06,,$16.84,,,,$16.84,,$13.68,,,,,,,,$16.84,,$17.89,,$16.84,,$11.58,,,,$18.95,,$13.68,,$12.10,,$12.10,,$17.89
CDM,1410844,VALGANCICLOVIR (VALCYTE) 450 MG TAB,,,J8499,,250,68084-0965-25,"$1,026.60","$1,026.60",$533.83,$923.94,,$533.83,,$615.96,,$821.28,,$788.63,,$841.81,,$788.63,,$667.29,,,,,,,,,,,,,,,$667.29,,,$685.77,,$821.28,,,,$821.28,,$667.29,,,,,,,,$821.28,,$872.61,,$821.28,,$564.63,,,,$923.94,,$667.29,,$590.29,,$590.29,,$872.61
CDM,1410851,SODIUM PHOSPHATE SOLN,,,J8499,,250,63323-0170-15,$24.55,$24.55,$12.77,$22.10,,$12.77,,$14.73,,$19.64,,$18.86,,$20.13,,$18.86,,$15.96,,,,,,,,,,,,,,,$15.96,,,$16.40,,$19.64,,,,$19.64,,$15.96,,,,,,,,$19.64,,$20.87,,$19.64,,$13.50,,,,$22.10,,$15.96,,$14.12,,$14.12,,$20.87
CDM,1412812,SODIUM CHLORIDE 1 GM TABLET 1 GM TAB,,,J8499,,250,25715-0110-67,$9.42,$9.42,$4.90,$8.48,,$4.90,,$5.65,,$7.54,,$7.24,,$7.72,,$7.24,,$6.12,,,,,,,,,,,,,,,$6.12,,,$6.29,,$7.54,,,,$7.54,,$6.12,,,,,,,,$7.54,,$8.01,,$7.54,,$5.18,,,,$8.48,,$6.12,,$5.42,,$5.42,,$8.01
CDM,1412826,ARGININE POWDER - POWDER,,,J8499,,250,88888-9999-02,$9.42,$9.42,$4.90,$8.48,,$4.90,,$5.65,,$7.54,,$7.24,,$7.72,,$7.24,,$6.12,,,,,,,,,,,,,,,$6.12,,,$6.29,,$7.54,,,,$7.54,,$6.12,,,,,,,,$7.54,,$8.01,,$7.54,,$5.18,,,,$8.48,,$6.12,,$5.42,,$5.42,,$8.01
CDM,1412828,METHIONINE POWDER - POWDER,,,J8499,,250,88888-9999-03,$9.42,$9.42,$4.90,$8.48,,$4.90,,$5.65,,$7.54,,$7.24,,$7.72,,$7.24,,$6.12,,,,,,,,,,,,,,,$6.12,,,$6.29,,$7.54,,,,$7.54,,$6.12,,,,,,,,$7.54,,$8.01,,$7.54,,$5.18,,,,$8.48,,$6.12,,$5.42,,$5.42,,$8.01
CDM,1412830,SODIUM BENZOATE POWDER - POWDER,,,J8499,,250,88888-9999-04,$50.00,$50.00,$26.00,$45.00,,$26.00,,$30.00,,$40.00,,$38.41,,$41.00,,$38.41,,$32.50,,,,,,,,,,,,,,,$32.50,,,$33.40,,$40.00,,,,$40.00,,$32.50,,,,,,,,$40.00,,$42.50,,$40.00,,$27.50,,,,$45.00,,$32.50,,$28.75,,$28.75,,$42.50
CDM,1412832,BETAINE POWDER - POWDER,,,J8499,,250,88888-7777-01,$46.75,$46.75,$24.31,$42.08,,$24.31,,$28.05,,$37.40,,$35.91,,$38.34,,$35.91,,$30.39,,,,,,,,,,,,,,,$30.39,,,$31.23,,$37.40,,,,$37.40,,$30.39,,,,,,,,$37.40,,$39.74,,$37.40,,$25.71,,,,$42.08,,$30.39,,$26.88,,$26.88,,$39.74
CDM,1473380,DOCUSATE-SENNA (PERI-COLACE) TABLET,,,J8499,,250,00904-6339-61,$9.42,$9.42,$4.90,$8.48,,$4.90,,$5.65,,$7.54,,$7.24,,$7.72,,$7.24,,$6.12,,,,,,,,,,,,,,,$6.12,,,$6.29,,$7.54,,,,$7.54,,$6.12,,,,,,,,$7.54,,$8.01,,$7.54,,$5.18,,,,$8.48,,$6.12,,$5.42,,$5.42,,$8.01
CDM,1704820,TOPIRAMATE 6 MG/ML SUSP,,,J8499,,250,00045-0641-65,$53.03,$53.03,$27.58,$47.73,,$27.58,,$31.82,,$42.42,,$40.74,,$43.48,,$40.74,,$34.47,,,,,,,,,,,,,,,$34.47,,,$35.42,,$42.42,,,,$42.42,,$34.47,,,,,,,,$42.42,,$45.08,,$42.42,,$29.17,,,,$47.73,,$34.47,,$30.49,,$30.49,,$45.08
CDM,1890844,DAPSONE 2MG/ML SUSP,,,J8499,,250,49938-0101-01,$20.59,$20.59,$10.71,$18.53,,$10.71,,$12.35,,$16.47,,$15.82,,$16.88,,$15.82,,$13.38,,,,,,,,,,,,,,,$13.38,,,$13.75,,$16.47,,,,$16.47,,$13.38,,,,,,,,$16.47,,$17.50,,$16.47,,$11.32,,,,$18.53,,$13.38,,$11.84,,$11.84,,$17.50
CDM,1892863,TIZANIDINE 2 MG TAB,,,J8499,,250,55111-0179-15,$17.45,$17.45,$9.07,$15.71,,$9.07,,$10.47,,$13.96,,$13.41,,$14.31,,$13.41,,$11.34,,,,,,,,,,,,,,,$11.34,,,$11.66,,$13.96,,,,$13.96,,$11.34,,,,,,,,$13.96,,$14.83,,$13.96,,$9.60,,,,$15.71,,$11.34,,$10.03,,$10.03,,$14.83
CDM,2086843,MULTIVITAMINS (AQUADEKS) DROPS,,,J8499,,250,58914-0214-60,$10.69,$10.69,$5.56,$9.62,,$5.56,,$6.41,,$8.55,,$8.21,,$8.77,,$8.21,,$6.95,,,,,,,,,,,,,,,$6.95,,,$7.14,,$8.55,,,,$8.55,,$6.95,,,,,,,,$8.55,,$9.09,,$8.55,,$5.88,,,,$9.62,,$6.95,,$6.15,,$6.15,,$9.09
CDM,2350900,GUAIFENESIN 20 MG/ML SYRUP 10 ML,,,J8499,,250,00121-1744-10,$12.75,$12.75,$6.63,$11.48,,$6.63,,$7.65,,$10.20,,$9.79,,$10.46,,$9.79,,$8.29,,,,,,,,,,,,,,,$8.29,,,$8.52,,$10.20,,,,$10.20,,$8.29,,,,,,,,$10.20,,$10.84,,$10.20,,$7.01,,,,$11.48,,$8.29,,$7.33,,$7.33,,$10.84
CDM,2598843,POTASSIUM PHOSPHATE SOL,,,J8499,,250,00409-7295-01,$30.75,$30.75,$15.99,$27.68,,$15.99,,$18.45,,$24.60,,$23.62,,$25.21,,$23.62,,$19.99,,,,,,,,,,,,,,,$19.99,,,$20.54,,$24.60,,,,$24.60,,$19.99,,,,,,,,$24.60,,$26.14,,$24.60,,$16.91,,,,$27.68,,$19.99,,$17.68,,$17.68,,$26.14
CDM,2598844,MAGNESIUM SULFATE 500 MG/ML ORAL SOLN,,,J8499,,250,63323-0064-10,$197.60,$197.60,$102.75,$177.84,,$102.75,,$118.56,,$158.08,,$151.80,,$162.03,,$151.80,,$128.44,,,,,,,,,,,,,,,$128.44,,,$132.00,,$158.08,,,,$158.08,,$128.44,,,,,,,,$158.08,,$167.96,,$158.08,,$108.68,,,,$177.84,,$128.44,,$113.62,,$113.62,,$167.96
CDM,2611060,GLYBURIDE 1.25 MG TAB,,,J8499,,250,00093-8342-01,$10.00,$10.00,$5.20,$9.00,,$5.20,,$6.00,,$8.00,,$7.68,,$8.20,,$7.68,,$6.50,,,,,,,,,,,,,,,$6.50,,,$6.68,,$8.00,,,,$8.00,,$6.50,,,,,,,,$8.00,,$8.50,,$8.00,,$5.50,,,,$9.00,,$6.50,,$5.75,,$5.75,,$8.50
CDM,2630861,SODIUM FLUORIDE 0.05% ANTI-CAVITY RINSE 0.05% LIQ,,,J8499,,250,99999-9999-44,$9.42,$9.42,$4.90,$8.48,,$4.90,,$5.65,,$7.54,,$7.24,,$7.72,,$7.24,,$6.12,,,,,,,,,,,,,,,$6.12,,,$6.29,,$7.54,,,,$7.54,,$6.12,,,,,,,,$7.54,,$8.01,,$7.54,,$5.18,,,,$8.48,,$6.12,,$5.42,,$5.42,,$8.01
CDM,2842843,CITALOPRAM 10 MG TAB,,,J8499,,250,00093-4740-93,$26.55,$26.55,$13.81,$23.90,,$13.81,,$15.93,,$21.24,,$20.40,,$21.77,,$20.40,,$17.26,,,,,,,,,,,,,,,$17.26,,,$17.74,,$21.24,,,,$21.24,,$17.26,,,,,,,,$21.24,,$22.57,,$21.24,,$14.60,,,,$23.90,,$17.26,,$15.27,,$15.27,,$22.57
CDM,2842844,ESCITALOPRAM 10 MG TAB,,,J8499,,250,00456-2010-63,$73.90,$73.90,$38.43,$66.51,,$38.43,,$44.34,,$59.12,,$56.77,,$60.60,,$56.77,,$48.03,,,,,,,,,,,,,,,$48.03,,,$49.37,,$59.12,,,,$59.12,,$48.04,,,,,,,,$59.12,,$62.82,,$59.12,,$40.65,,,,$66.51,,$48.04,,$42.49,,$42.49,,$62.82
CDM,2852922,SIMETHICONE 66.7 MG/ML DROPS,,,J8499,,250,00904-5894-30,$32.32,$32.32,$16.81,$29.09,,$16.81,,$19.39,,$25.86,,$24.83,,$26.50,,$24.83,,$21.01,,,,,,,,,,,,,,,$21.01,,,$21.59,,$25.86,,,,$25.86,,$21.01,,,,,,,,$25.86,,$27.47,,$25.86,,$17.78,,,,$29.09,,$21.01,,$18.58,,$18.58,,$27.47
CDM,2918846,BISMUTH SUBSALICYLATE ORALSYR,,,J8499,,250,00904-1313-09,$5.07,$5.07,$2.64,$4.56,,$2.64,,$3.04,,$4.06,,$3.89,,$4.16,,$3.89,,$3.30,,,,,,,,,,,,,,,$3.30,,,$3.39,,$4.06,,,,$4.06,,$3.30,,,,,,,,$4.06,,$4.31,,$4.06,,$2.79,,,,$4.56,,$3.30,,$2.92,,$2.92,,$4.31
CDM,2920851,SORBITOL 70% ORALSYR,,,J8499,,250,46287-0500-01,$0.28,$0.28,$0.15,$0.25,,$0.15,,$0.17,,$0.22,,$0.22,,$0.23,,$0.22,,$0.18,,,,,,,,,,,,,,,$0.18,,,$0.19,,$0.22,,,,$0.22,,$0.18,,,,,,,,$0.22,,$0.24,,$0.22,,$0.15,,,,$0.25,,$0.18,,$0.16,,$0.16,,$0.24
CDM,2920852,VITAMIN E 50 UNIT/ML ORALSYR,,,J8499,,250,54838-0005-30,$14.62,$14.62,$7.60,$13.16,,$7.60,,$8.77,,$11.70,,$11.23,,$11.99,,$11.23,,$9.50,,,,,,,,,,,,,,,$9.50,,,$9.77,,$11.70,,,,$11.70,,$9.50,,,,,,,,$11.70,,$12.43,,$11.70,,$8.04,,,,$13.16,,$9.50,,$8.41,,$8.41,,$12.43
CDM,2950857,SILDENAFIL 20 MG TAB,,,J8499,,250,68084-0869-21,$161.15,$161.15,$83.80,$145.04,,$83.80,,$96.69,,$128.92,,$123.80,,$132.14,,$123.80,,$104.75,,,,,,,,,,,,,,,$104.75,,,$107.65,,$128.92,,,,$128.92,,$104.75,,,,,,,,$128.92,,$136.98,,$128.92,,$88.63,,,,$145.04,,$104.75,,$92.66,,$92.66,,$136.98
CDM,2965021,CAFFEINE BASE 10 MG/ML ORALSYR,,,J8499,,250,00087-6111-42,$134.81,$134.81,$70.10,$121.33,,$70.10,,$80.89,,$107.85,,$103.56,,$110.54,,$103.56,,$87.63,,,,,,,,,,,,,,,$87.63,,,$90.05,,$107.85,,,,$107.85,,$87.63,,,,,,,,$107.85,,$114.59,,$107.85,,$74.15,,,,$121.33,,$87.63,,$77.52,,$77.52,,$114.59
CDM,3066845,CALCIUM CARBONATE/VITAMIN D (OS-CAL 500 + D) ORAL 500MG TAB,,,J8499,,250,00904-5460-61,$9.42,$9.42,$4.90,$8.48,,$4.90,,$5.65,,$7.54,,$7.24,,$7.72,,$7.24,,$6.12,,,,,,,,,,,,,,,$6.12,,,$6.29,,$7.54,,,,$7.54,,$6.12,,,,,,,,$7.54,,$8.01,,$7.54,,$5.18,,,,$8.48,,$6.12,,$5.42,,$5.42,,$8.01
CDM,3414843,PREGABALIN (LYRICA) 25 MG CAP,,,J8499,,250,00071-1012-68,$72.09,$72.09,$37.49,$64.88,,$37.49,,$43.25,,$57.67,,$55.38,,$59.11,,$55.38,,$46.86,,,,,,,,,,,,,,,$46.86,,,$48.16,,$57.67,,,,$57.67,,$46.86,,,,,,,,$57.67,,$61.28,,$57.67,,$39.65,,,,$64.88,,$46.86,,$41.45,,$41.45,,$61.28
CDM,3642843,BOSENTAN  62.5 MG TAB,,,J8499,,250,66215-0101-06,$802.70,$802.70,$417.40,$722.43,,$417.40,,$481.62,,$642.16,,$616.63,,$658.21,,$616.63,,$521.75,,,,,,,,,,,,,,,$521.75,,,$536.20,,$642.16,,,,$642.16,,$521.76,,,,,,,,$642.16,,$682.30,,$642.16,,$441.49,,,,$722.43,,$521.76,,$461.55,,$461.55,,$682.30
CDM,3730878,"PANCRELIPASE 6,000 (CREON 6,000) EC CAP",,,J8499,,250,00032-1206-01,$22.65,$22.65,$11.78,$20.39,,$11.78,,$13.59,,$18.12,,$17.40,,$18.57,,$17.40,,$14.72,,,,,,,,,,,,,,,$14.72,,,$15.13,,$18.12,,,,$18.12,,$14.72,,,,,,,,$18.12,,$19.25,,$18.12,,$12.46,,,,$20.39,,$14.72,,$13.02,,$13.02,,$19.25
